,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1989/90,8169340,10690553,9985798,9274484,5354196,5397789,10571945,7000417,7084286,5024081,9812501,9086502
1990/91,11513896,10087120,10539637,3087526,14670657,9386412,13433857,5997144,1508113,2944676,1083195,3739709
1991/92,1328726,6485165,8107337,9507943,13776415,15448916,8234726,11782314,5698245,2130608,12749187,7546220
1992/93,7571349,5669888,7769056,5968023,7581022,10406612,9162048,4645437,10362364,7324734,8851068,6935036
1993/94,5772239,5810001,7034349,3775619,7279119,6417955,8213410,874280,3786330,3025487,13070171,10413805
1994/95,2158955,12824548,7588506,5108067,5887250,10189981,6939740,3297400,2407919,9352613,2656741,7744875
1995/96,5235937,6016639,7814993,5424101,6024480,2421162,9737796,10609043,2480709,8636645,3989130,5512359
1996/97,3739388,1910969,4176799,6215883,4760378,2563961,3220061,2197107,4354420,2749170,2801348,2656209
1997/98,8517478,7912384,10659194,14556178,17752724,7861548,3731304,2084068,3461089,4372787,2340281,1187153
1998/99,2126220,3157711,5281958,6371500,2008277,2874662,1725647,3347035,3685472,3081486,2157699,3007483
1999/00,2565972,1365861,5894578,2924809,5267794,2410882,2987357,3816832,2624139,2068079,2013296,2447655
Jan-00,2137973,3390462,5085497,12799315,8677429,5535314,6922688,6658811,4301513,4501061,2348659,4254054
Feb-01,4024955,1894471,6917910,1916152,4326228,2759906,2574213,1386456,2546857,1274094,1455438,2141225
Mar-02,3522022,2125538,2830153,3206685,1891443,2522981,2741938,3140807,3104394,2157436,4765975,4041422
Apr-03,1135844,1241367,2928251,1866193,5533414,3085696,4114992,789234,2878424,736876,1348784,754258
May-04,3229484,1222810,1174095,1697344,4153550,3034720,2909052,4970922,2024132,2770849,6502136,4684780
Jun-05,4843941,5349103,6759331,7700102,6517389,2163025,1388930,1831245,2096872,2230588,4188629,2720458
Jul-06,2111087,1948408,1632882,3274364,3961976,4945627,3153533,5382905,3942174,2995868,2563851,2340807
Aug-07,3082444,2557516,3306652,8511697,11058129,11114289,3275269,7306218,5853318,4681227,6913990,4102073
Sep-08,3807349,3004412,4261540,7471570,4284051,3780505,3037889,3674307,2408057,2734087,2110763,3030204
Oct-09,3247157,2835033,2826021,2320475,3304943,2623992,2640525,2604818,2039300,2248521,2487735,2390157
Nov-10,2147734,2734737,2317552,4927425,2668910,3037157,2208128,1715114,2338017,2832959,2109340,2593066
Dec-11,2247572,3230986,3417677,4132567,2153562,1621387,1061120,1602640,2163691,2357597,2682481,3246953
2012/13,2778246,2910520,5158212,3869585,2743690,1991423,1945516,1871183,1717093,2672429,2411942,2462338
2013/14,2222497,2337254,4214024,3626293,3100903,2588199,2411691,4762583,2354566,2895685,2617654,5865467
2014/15,3054640,3554646,3304578,3660557,2973214,4338147,2156847,3099970,3554328,4175556,2874630,3215945
2015/16,3206428,2726469,3386810,2321332,3061964,3754916,3177814,2488333,2819089,2376604,2040181,1926295
