barley,corn,oats,sorghum
0.75,30.02,7.94,0
1.06,32.12,8.18,0
1.06,35.12,8.90,0
1.24,35.83,9.56,0
1.33,38.39,10.35,0
1.35,42,11.06,0
1.42,43.58,11.79,0
1.47,44.08,12.01,0
1.63,47.64,12.78,0
1.7,52.45,13.62,0
1.97,55.28,14.59,0
1.96,58.8,14.82,0
1.85,59.66,15.83,0
1.93,62.23,15.96,0
1.99,62.55,16.41,0
2.2,63.03,16.92,0
2.43,66.16,19.08,0
2.47,68.17,20.62,0
2.69,68.83,21.97,0
2.86,71.85,23.35,0
3.03,73.91,24.43,0
3.26,73.3,26.27,0
3.28,77.47,27.81,0
3.35,77.66,28.70,0
3.25,74.79,28.28,0
3.59,78.86,27.76,0
3.86,76.91,28.17,0
3.69,79.83,29.27,0
3.64,80.07,29.56,0
4.19,90.48,30.91,0
4.13,89.07,30.25,0
4.12,89.97,28.83,0
4.11,87.78,29.33,0
4.47,94.59,29.25,0
4.7,94.85,31.05,0
4.96,94.42,30.89,0
5.47,97.18,31.36,0
6.23,93.56,32.19,0
6.58,95.23,32.75,0
6.66,95.75,33.43,0
6.74,95.62,33.69,0
6.85,96.09,34.44,0
7.41,95.29,34.31,0
7.7,100.2,35.06,0
7.55,102.27,36.84,0
7.61,101.39,37.15,0
7.54,101.45,37.24,0
7.67,100.21,37.25,0
7.65,97.8,37.21,0
7.28,100.62,38.80,0
7.62,100.56,39.10,0
8.45,110.89,41.60,0
9.2,102.2,42.46,0
6.58,87.49,39.60,0
7.44,90.15,42.73,0
7.07,91.94,45.54,0
6.6,84.86,40.32,0
7.15,87.49,40.25,0
7.04,84.12,41.86,0
8.19,86.83,44.24,0
7.92,83.28,42.85,0
9.47,83.92,40.35,0
12.74,85.83,40.13,0
13.56,83.19,38.15,3.52
12.63,85.53,39.85,3.48
11.18,91.13,40.19,4.44
13.21,97.21,41.70,4.4
9.64,92.13,36.53,4.35
6.58,61.25,29.46,2.4
12.44,82.55,40.11,4.6
8.33,67.83,33.65,2.79
9.97,81.22,35.54,4.92
10.61,82.79,36.04,4.7
12.74,78.31,33.46,4.76
13.53,76.44,35.43,6.37
14.28,77.4,38.16,6.02
16.96,79.21,38.20,5.99
14.9,81.91,38.91,6.89
12.3,85,39.74,9.39
10.45,77.93,41.74,6.32
10.38,78.41,42.81,6.67
10.96,73.8,37.86,5.48
11.91,76.84,39.28,7.32
9.87,77.11,37.79,6.6
11.16,72.4,39.31,10.35
9.42,71.19,35.23,8.54
8.24,71.35,37.01,5.33
8.68,70.74,37.54,6.3
13.37,68.67,40.55,11.72
14.52,68.46,39.03,12.89
12.85,64.88,33.33,9.21
14.87,63.07,34.07,19.68
14.79,63.55,31.25,16.52
14.87,72.09,27.76,15.41
13.86,71.42,26.59,15.6
12.81,57.63,23.89,10.99
12.21,55.73,22.38,11.57
11.24,59.23,21.31,13.33
10.28,55.37,19.76,11.74
9.17,55.39,18.52,13.03
10.25,57,17.88,12.81
9.23,60.69,16.11,14.99
9.73,55.98,17.71,13.89
9.56,54.57,17.97,13.44
9.71,57.36,18.59,13.57
10.1,64.12,15.71,16.14
9.65,57.51,13.41,13.21
10.3,62.14,13.77,15.7
7.93,65.41,12.61,13.81
8.62,67.63,13.04,15.4
8.44,71.51,11.83,14.47
9.73,71.61,13.49,13.8
9.25,71.93,11.13,13.41
7.53,72.4,9.68,12.9
7.26,72.96,8.66,12.51
9.04,74.52,9.41,13.68
9.01,72.72,10.26,14.14
9.72,51.48,9.06,10
11.22,71.9,8.16,15.36
11.59,75.21,8.15,16.78
11.97,68.91,6.84,13.86
9.96,59.51,6.89,10.53
7.64,58.25,5.53,9.04
8.31,64.78,6.88,11.1
7.53,66.95,5.95,9.09
8.41,68.82,4.82,9.87
7.29,72.08,4.50,12.05
6.75,62.93,3.80,8.92
6.67,72.51,4.01,8.88
6.28,65.21,2.95,8.25
6.71,72.64,2.66,11.81
6.2,72.67,2.81,9.16
5.85,72.59,2.75,7.72
4.57,70.49,2.45,8.54
5.2,72.44,2.33,7.73
4.27,68.77,1.91,8.58
4.12,69.33,2.06,7.13
4.73,70.94,2.22,7.8
4.02,73.63,1.79,6.52
3.27,75.12,1.82,5.74
2.95,70.64,1.56,4.94
3.5,86.52,1.50,6.79
3.78,78.57,1.41,7.31
3.11,79.49,1.34,5.5
2.47,81.45,1.27,4.81
2.24,83.88,0.88,3.95
3.27,87.37,1.01,5
3.04,87.45,1.01,6.59
2.5,83.14,1.04,6.4
3.16,80.75,1.28,7.85
2.56,86.84,0.98,6.05
